Accession	Description	Gene Symbol	Corrected Abundance ratio (1.53)	Log2 Corrected Abundance Ratio	Abundance Ratio Adj. P-Value: (127. T3 Tc WT) / (126. T0 WT)	LOG10 Adj.P-val
P0A944	Ribosomal-protein-alanine acetyltransferase OS=Escherichia coli (strain K12) OX=83333 GN=rimI PE=1 SV=1	rimI	0.733333333	-0.447458977		#VALEUR!
P45795	Uncharacterized protein YrdB OS=Escherichia coli (strain K12) OX=83333 GN=yrdB PE=4 SV=1	yrdB	0.733333333	-0.447458977	1	0
P0AA25	Thioredoxin 1 OS=Escherichia coli (strain K12) OX=83333 GN=trxA PE=1 SV=2	"trxA; CFNIH1_RS03880; AL524_RS03450"	0.733986928	-0.446173725	1	0
P25894	Metalloprotease LoiP OS=Escherichia coli (strain K12) OX=83333 GN=loiP PE=1 SV=2	"loiP; yggG"	0.733986928	-0.446173725	1	0
P0AGE6	Quinone reductase OS=Escherichia coli (strain K12) OX=83333 GN=chrR PE=1 SV=1	"chrR; yieF"	0.733986928	-0.446173725	1	0
P0AFR2	C4-dicarboxylic acid transporter DauA OS=Escherichia coli (strain K12) OX=83333 GN=dauA PE=1 SV=2	"dauA; ychM"	0.733986928	-0.446173725		#VALEUR!
P0AFX0	Ribosome hibernation promoting factor OS=Escherichia coli (strain K12) OX=83333 GN=hpf PE=1 SV=1	hpf	0.733986928	-0.446173725	1	0
P0A784	Oligoribonuclease OS=Escherichia coli (strain K12) OX=83333 GN=orn PE=1 SV=2	orn	0.734640523	-0.444889617	1	0
P0AAG8	Galactose/methyl galactoside import ATP-binding protein MglA OS=Escherichia coli (strain K12) OX=83333 GN=mglA PE=1 SV=1	mglA	0.734640523	-0.444889617	1	0
P0A9W9	Protein YrdA OS=Escherichia coli (strain K12) OX=83333 GN=yrdA PE=1 SV=1	yrdA	0.734640523	-0.444889617	1	0
P41052	Membrane-bound lytic murein transglycosylase B OS=Escherichia coli (strain K12) OX=83333 GN=mltB PE=1 SV=1	mltB	0.734640523	-0.444889617	1	0
P77300	Uncharacterized HTH-type transcriptional regulator YagI OS=Escherichia coli (strain K12) OX=83333 GN=yagI PE=4 SV=1	yagI	0.734640523	-0.444889617	1	0
P40710	Lipoprotein NlpE OS=Escherichia coli (strain K12) OX=83333 GN=nlpE PE=1 SV=1	nlpE	0.734640523	-0.444889617	1	0
P37774	L-cystine transport system ATP-binding protein YecC OS=Escherichia coli (strain K12) OX=83333 GN=yecC PE=3 SV=2	yecC	0.734640523	-0.444889617	1	0
P0A9C0	Anaerobic glycerol-3-phosphate dehydrogenase subunit A OS=Escherichia coli (strain K12) OX=83333 GN=glpA PE=1 SV=1	glpA	0.735294118	-0.443606651	1	0
P0A6L9	Co-chaperone protein HscB OS=Escherichia coli (strain K12) OX=83333 GN=hscB PE=1 SV=1	hscB	0.735294118	-0.443606651	1	0
P46130	Putative acyl-CoA thioester hydrolase YbhC OS=Escherichia coli (strain K12) OX=83333 GN=ybhC PE=1 SV=2	ybhC	0.735294118	-0.443606651	1	0
P00963	Aspartate--ammonia ligase OS=Escherichia coli (strain K12) OX=83333 GN=asnA PE=1 SV=1	asnA	0.735294118	-0.443606651	1	0
P75874	Uncharacterized protein YccU OS=Escherichia coli (strain K12) OX=83333 GN=yccU PE=1 SV=2	yccU	0.735294118	-0.443606651	1	0
P0AB77	2-amino-3-ketobutyrate coenzyme A ligase OS=Escherichia coli (strain K12) OX=83333 GN=kbl PE=1 SV=1	kbl	0.735947712	-0.442324825	1	0
P0ADS2	Cell division protein ZapA OS=Escherichia coli (strain K12) OX=83333 GN=zapA PE=1 SV=1	zapA	0.735947712	-0.442324825	1	0
P08312	Phenylalanine--tRNA ligase alpha subunit OS=Escherichia coli (strain K12) OX=83333 GN=pheS PE=1 SV=2	pheS	0.736601307	-0.441044137	1	0
P0AAX8	Probable L.D-transpeptidase YbiS OS=Escherichia coli (strain K12) OX=83333 GN=ybiS PE=1 SV=1	"ybiS; ldtB"	0.736601307	-0.441044137	1	0
P77737	Oligopeptide transport ATP-binding protein OppF OS=Escherichia coli (strain K12) OX=83333 GN=oppF PE=3 SV=1	oppF	0.736601307	-0.441044137	1	0
P0AE67	Chemotaxis protein CheY OS=Escherichia coli (strain K12) OX=83333 GN=cheY PE=1 SV=2	cheY	0.736601307	-0.441044137	1	0
P0AEV9	Hydrogenase 3 maturation protease OS=Escherichia coli (strain K12) OX=83333 GN=hycI PE=1 SV=2	hycI	0.736601307	-0.441044137	1	0
P0AAG0	Dipeptide transport ATP-binding protein DppD OS=Escherichia coli (strain K12) OX=83333 GN=dppD PE=1 SV=1	dppD	0.736601307	-0.441044137		#VALEUR!
P45577	RNA chaperone ProQ OS=Escherichia coli (strain K12) OX=83333 GN=proQ PE=1 SV=2	proQ	0.737254902	-0.439764585	0.632584212	0.198881652
P0A6U5	Ribosomal RNA small subunit methyltransferase G OS=Escherichia coli (strain K12) OX=83333 GN=rsmG PE=1 SV=1	rsmG	0.737254902	-0.439764585	1	0
P0ABD8	Biotin carboxyl carrier protein of acetyl-CoA carboxylase OS=Escherichia coli (strain K12) OX=83333 GN=accB PE=1 SV=1	accB	0.737254902	-0.439764585	1	0
P64534	Nickel/cobalt homeostasis protein RcnB OS=Escherichia coli (strain K12) OX=83333 GN=rcnB PE=1 SV=1	rcnB	0.737254902	-0.439764585	1	0
P07650	Thymidine phosphorylase OS=Escherichia coli (strain K12) OX=83333 GN=deoA PE=1 SV=3	deoA	0.737908497	-0.438486167	1	0
P0A734	Cell division topological specificity factor OS=Escherichia coli (strain K12) OX=83333 GN=minE PE=1 SV=1	minE	0.737908497	-0.438486167	1	0
P76569	Uncharacterized protein YfgD OS=Escherichia coli (strain K12) OX=83333 GN=yfgD PE=1 SV=1	yfgD	0.737908497	-0.438486167	1	0
P0ACL0	Glycerol-3-phosphate regulon repressor OS=Escherichia coli (strain K12) OX=83333 GN=glpR PE=1 SV=1		0.737908497	-0.438486167	1	0
P27278	Trifunctional NAD biosynthesis/regulator protein NadR OS=Escherichia coli (strain K12) OX=83333 GN=nadR PE=1 SV=2	nadR	0.737908497	-0.438486167	1	0
P07330	Chemotaxis response regulator protein-glutamate methylesterase OS=Escherichia coli (strain K12) OX=83333 GN=cheB PE=1 SV=3	cheB	0.737908497	-0.438486167		#VALEUR!
P39376	HTH-type transcriptional regulator YjiE OS=Escherichia coli (strain K12) OX=83333 GN=yjiE PE=1 SV=1	"qseD; yjiE; hypT"	0.737908497	-0.438486167	1	0
P0A9K9	FKBP-type peptidyl-prolyl cis-trans isomerase SlyD OS=Escherichia coli (strain K12) OX=83333 GN=slyD PE=1 SV=1	slyD	0.738562092	-0.43720888	1	0
P39160	D-mannonate oxidoreductase OS=Escherichia coli (strain K12) OX=83333 GN=uxuB PE=3 SV=1	uxuB	0.738562092	-0.43720888	1	0
P0ABY4	Flavodoxin 2 OS=Escherichia coli (strain K12) OX=83333 GN=fldB PE=1 SV=1	fldB	0.738562092	-0.43720888	1	0
P0A6R0	3-oxoacyl-[acyl-carrier-protein] synthase 3 OS=Escherichia coli (strain K12) OX=83333 GN=fabH PE=1 SV=1	fabH	0.739215686	-0.435932724	1	0
P06282	CDP-diacylglycerol pyrophosphatase OS=Escherichia coli (strain K12) OX=83333 GN=cdh PE=3 SV=1	cdh	0.739215686	-0.435932724	1	0
P18196	Septum site-determining protein MinC OS=Escherichia coli (strain K12) OX=83333 GN=minC PE=1 SV=1	minC	0.739215686	-0.435932724	1	0
P69783	PTS system glucose-specific EIIA component OS=Escherichia coli (strain K12) OX=83333 GN=crr PE=1 SV=2	crr	0.739869281	-0.434657695	1	0
P52697	6-phosphogluconolactonase OS=Escherichia coli (strain K12) OX=83333 GN=pgl PE=1 SV=2	pgl	0.739869281	-0.434657695	1	0
P0A8W8	UPF0304 protein YfbU OS=Escherichia coli (strain K12) OX=83333 GN=yfbU PE=1 SV=1	yfbU	0.739869281	-0.434657695	1	0
P15770	Shikimate dehydrogenase (NADP(+)) OS=Escherichia coli (strain K12) OX=83333 GN=aroE PE=1 SV=1	aroE	0.739869281	-0.434657695	1	0
P13009	Methionine synthase OS=Escherichia coli (strain K12) OX=83333 GN=metH PE=1 SV=5	metH	0.740522876	-0.433383792	0.272327829	0.564907977
P0AFZ1	Protein SseB OS=Escherichia coli (strain K12) OX=83333 GN=sseB PE=4 SV=1	sseB	0.740522876	-0.433383792	1	0
P29012	Alanine racemase. catabolic OS=Escherichia coli (strain K12) OX=83333 GN=dadX PE=2 SV=2	dadX	0.740522876	-0.433383792	1	0
P0A7F9	S-adenosylmethionine:tRNA ribosyltransferase-isomerase OS=Escherichia coli (strain K12) OX=83333 GN=queA PE=1 SV=1	queA	0.740522876	-0.433383792	1	0
P09148	Galactose-1-phosphate uridylyltransferase OS=Escherichia coli (strain K12) OX=83333 GN=galT PE=1 SV=2	galT	0.740522876	-0.433383792	1	0
P52108	Transcriptional regulatory protein RstA OS=Escherichia coli (strain K12) OX=83333 GN=rstA PE=1 SV=2	rstA	0.740522876	-0.433383792	1	0
P63228	D-glycero-beta-D-manno-heptose-1.7-bisphosphate 7-phosphatase OS=Escherichia coli (strain K12) OX=83333 GN=gmhB PE=1 SV=1	gmhB	0.740522876	-0.433383792		#VALEUR!
P0AFJ1	Protein PhnA OS=Escherichia coli (strain K12) OX=83333 GN=phnA PE=4 SV=1	yjdM	0.741176471	-0.432111013	1	0
P0A9T4	Protein tas OS=Escherichia coli (strain K12) OX=83333 GN=tas PE=1 SV=1	tas	0.741176471	-0.432111013	1	0
P0ACU7	HTH-type transcriptional regulator YjdC OS=Escherichia coli (strain K12) OX=83333 GN=yjdC PE=4 SV=1	yjdC	0.741176471	-0.432111013	1	0
P0ADQ2	Uncharacterized protein YiiD OS=Escherichia coli (strain K12) OX=83333 GN=yiiD PE=4 SV=1	yiiD	0.741176471	-0.432111013	1	0
P69795	PTS system N.N'-diacetylchitobiose-specific EIIB component OS=Escherichia coli (strain K12) OX=83333 GN=chbB PE=1 SV=1	chbB	0.741176471	-0.432111013	1	0
P39836	Putative symporter YfeH OS=Escherichia coli (strain K12) OX=83333 GN=yfeH PE=3 SV=2	yfeH	0.741176471	-0.432111013		#VALEUR!
P76389	UPF0053 protein YegH OS=Escherichia coli (strain K12) OX=83333 GN=yegH PE=3 SV=2	yegH	0.741176471	-0.432111013	1	0
P13669	Mannosyl-D-glycerate transport/metabolism system repressor MngR OS=Escherichia coli (strain K12) OX=83333 GN=mngR PE=1 SV=1	mngR	0.741176471	-0.432111013	1	0
P39298	Esterase YjfP OS=Escherichia coli (strain K12) OX=83333 GN=yjfP PE=4 SV=1	yjfP	0.741176471	-0.432111013		#VALEUR!
P39342	Uncharacterized protein YjgR OS=Escherichia coli (strain K12) OX=83333 GN=yjgR PE=4 SV=1	yjgR	0.741176471	-0.432111013		#VALEUR!
P0AB83	Endonuclease III OS=Escherichia coli (strain K12) OX=83333 GN=nth PE=1 SV=1	nth	0.741176471	-0.432111013	1	0
P76185	Uncharacterized protein YdhJ OS=Escherichia coli (strain K12) OX=83333 GN=ydhJ PE=3 SV=2	ydhJ	0.741830065	-0.430839355	1	0
P0A7B3	NAD kinase OS=Escherichia coli (strain K12) OX=83333 GN=nadK PE=1 SV=1	nadK	0.741830065	-0.430839355	0.314314924	0.502634998
P60293	Chromosome partition protein MukF OS=Escherichia coli (strain K12) OX=83333 GN=mukF PE=1 SV=1	mukF	0.74248366	-0.429568818	1	0
P0AF93	2-iminobutanoate/2-iminopropanoate deaminase OS=Escherichia coli (strain K12) OX=83333 GN=ridA PE=1 SV=2	"ridA; yjgF"	0.74248366	-0.429568818	1	0
P0A6S0	Flagellar L-ring protein OS=Escherichia coli (strain K12) OX=83333 GN=flgH PE=3 SV=1	flgH	0.74248366	-0.429568818	1	0
P0ADR6	Ribosomal RNA large subunit methyltransferase M OS=Escherichia coli (strain K12) OX=83333 GN=rlmM PE=1 SV=1	rlmM	0.74248366	-0.429568818	1	0
P32157	Protein YiiM OS=Escherichia coli (strain K12) OX=83333 GN=yiiM PE=1 SV=2	yiiM	0.74248366	-0.429568818	1	0
P07023	T-protein OS=Escherichia coli (strain K12) OX=83333 GN=tyrA PE=1 SV=1	tyrA	0.743137255	-0.428299399	0.122679146	0.911229257
P06610	Thioredoxin/glutathione peroxidase BtuE OS=Escherichia coli (strain K12) OX=83333 GN=btuE PE=1 SV=1	btuE	0.743137255	-0.428299399	1	0
P15042	DNA ligase OS=Escherichia coli (strain K12) OX=83333 GN=ligA PE=1 SV=2	ligA	0.74379085	-0.427031095	1	0
P77150	Pyridoxal kinase PdxY OS=Escherichia coli (strain K12) OX=83333 GN=pdxY PE=1 SV=3	pdxY	0.74379085	-0.427031095	1	0
P75782	Ribosomal RNA large subunit methyltransferase F OS=Escherichia coli (strain K12) OX=83333 GN=rlmF PE=1 SV=2	rlmF	0.74379085	-0.427031095	1	0
P77475	Fructose-1-phosphate phosphatase YqaB OS=Escherichia coli (strain K12) OX=83333 GN=yqaB PE=1 SV=1	yqaB	0.74379085	-0.427031095	1	0
P23843	Periplasmic oligopeptide-binding protein OS=Escherichia coli (strain K12) OX=83333 GN=oppA PE=1 SV=2	oppA	0.744444444	-0.425763906	0.001826477	2.738385831
P0AD24	UPF0352 protein YejL OS=Escherichia coli (strain K12) OX=83333 GN=yejL PE=1 SV=1	yejL	0.744444444	-0.425763906	1	0
P17443	UDP-N-acetylglucosamine--N-acetylmuramyl-(pentapeptide) pyrophosphoryl-undecaprenol N-acetylglucosamine transferase OS=Escherichia coli (strain K12) OX=83333 GN=murG PE=1 SV=3	murG	0.744444444	-0.425763906	1	0
P0AG00	ECA polysaccharide chain length modulation protein OS=Escherichia coli (strain K12) OX=83333 GN=wzzE PE=1 SV=2	wzzE	0.745098039	-0.424497829	1	0
P0A9I3	Glycine cleavage system transcriptional repressor OS=Escherichia coli (strain K12) OX=83333 GN=gcvR PE=1 SV=2	gcvR	0.745098039	-0.424497829	1	0
P77304	Dipeptide and tripeptide permease A OS=Escherichia coli (strain K12) OX=83333 GN=dtpA PE=1 SV=1	dtpA	0.745098039	-0.424497829	1	0
P16456	Selenide. water dikinase OS=Escherichia coli (strain K12) OX=83333 GN=selD PE=1 SV=1	selD	0.745751634	-0.423232861	0.058968712	1.229378355
P75849	Hydroxyacylglutathione hydrolase GloC OS=Escherichia coli (strain K12) OX=83333 GN=gloC PE=1 SV=1	ycbL	0.745751634	-0.423232861	1	0
P77695	Protein GnsB OS=Escherichia coli (strain K12) OX=83333 GN=gnsB PE=3 SV=2	gnsB	0.745751634	-0.423232861	1	0
P42596	Ribosomal RNA large subunit methyltransferase G OS=Escherichia coli (strain K12) OX=83333 GN=rlmG PE=1 SV=2	rlmG	0.745751634	-0.423232861	1	0
P0AEH1	Regulator of sigma-E protease RseP OS=Escherichia coli (strain K12) OX=83333 GN=rseP PE=1 SV=1	rseP	0.746405229	-0.421969002	1	0
P33025	Pseudouridine-5'-phosphate glycosidase OS=Escherichia coli (strain K12) OX=83333 GN=psuG PE=1 SV=1	psuG	0.746405229	-0.421969002	1	0
P67603	UPF0267 protein YqfB OS=Escherichia coli (strain K12) OX=83333 GN=yqfB PE=1 SV=1	yqfB	0.747058824	-0.420706249	1	0
P0AC51	Zinc uptake regulation protein OS=Escherichia coli (strain K12) OX=83333 GN=zur PE=1 SV=1	zur	0.747058824	-0.420706249	1	0
P31060	Putative molybdenum transport ATP-binding protein ModF OS=Escherichia coli (strain K12) OX=83333 GN=modF PE=3 SV=2	modF	0.747058824	-0.420706249	1	0
P37689	2.3-bisphosphoglycerate-independent phosphoglycerate mutase OS=Escherichia coli (strain K12) OX=83333 GN=gpmI PE=1 SV=1	gpmM	0.747712418	-0.419444601	1	0
P25798	Flagellar M-ring protein OS=Escherichia coli (strain K12) OX=83333 GN=fliF PE=1 SV=3	fliF	0.747712418	-0.419444601	1	0
P69805	PTS system mannose-specific EIID component OS=Escherichia coli (strain K12) OX=83333 GN=manZ PE=1 SV=2	manZ	0.747712418	-0.419444601	1	0
P0AGG0	Thiamine-monophosphate kinase OS=Escherichia coli (strain K12) OX=83333 GN=thiL PE=1 SV=1	thiL	0.747712418	-0.419444601	1	0
Q46857	2.5-diketo-D-gluconic acid reductase A OS=Escherichia coli (strain K12) OX=83333 GN=dkgA PE=1 SV=3	dkgA	0.747712418	-0.419444601	1	0
P37590	Signal transduction protein PmrD OS=Escherichia coli (strain K12) OX=83333 GN=pmrD PE=1 SV=2	pmrD	0.747712418	-0.419444601	1	0
P56258	TDP-N-acetylfucosamine:lipid II N-acetylfucosaminyltransferase OS=Escherichia coli (strain K12) OX=83333 GN=wecF PE=1 SV=2	"rffT; wecF"	0.747712418	-0.419444601		#VALEUR!
P0A9D4	Serine acetyltransferase OS=Escherichia coli (strain K12) OX=83333 GN=cysE PE=1 SV=1	cysE	0.748366013	-0.418184055	1	0
P77252	Uncharacterized protein YkgE OS=Escherichia coli (strain K12) OX=83333 GN=ykgE PE=3 SV=1	ykgE	0.748366013	-0.418184055	1	0
P69423	Sec-independent protein translocase protein TatC OS=Escherichia coli (strain K12) OX=83333 GN=tatC PE=1 SV=2	tatC	0.748366013	-0.418184055	1	0
P0AEP3	UTP--glucose-1-phosphate uridylyltransferase OS=Escherichia coli (strain K12) OX=83333 GN=galU PE=1 SV=2	galU	0.749019608	-0.416924609	1	0
P0A8E1	UPF0227 protein YcfP OS=Escherichia coli (strain K12) OX=83333 GN=ycfP PE=1 SV=1	ycfP	0.749019608	-0.416924609	1	0
P75957	Lipoprotein-releasing system ATP-binding protein LolD OS=Escherichia coli (strain K12) OX=83333 GN=lolD PE=1 SV=2	lolD	0.749019608	-0.416924609	0.312705971	0.504863827
P0ADE8	tRNA-modifying protein YgfZ OS=Escherichia coli (strain K12) OX=83333 GN=ygfZ PE=1 SV=2	ygfZ	0.749673203	-0.415666262	1	0
P23003	tRNA/tmRNA (uracil-C(5))-methyltransferase OS=Escherichia coli (strain K12) OX=83333 GN=trmA PE=1 SV=1	trmA	0.749673203	-0.415666262	1	0
P0A8W2	Transcriptional regulator SlyA OS=Escherichia coli (strain K12) OX=83333 GN=slyA PE=3 SV=1	slyA	0.749673203	-0.415666262	1	0
P0A962	L-asparaginase 1 OS=Escherichia coli (strain K12) OX=83333 GN=ansA PE=1 SV=1	ansA	0.749673203	-0.415666262	1	0
P0AB43	Protein YcgL OS=Escherichia coli (strain K12) OX=83333 GN=ycgL PE=1 SV=3	ycgL	0.749673203	-0.415666262	1	0
P27298	Oligopeptidase A OS=Escherichia coli (strain K12) OX=83333 GN=prlC PE=3 SV=3	prlC	0.750326797	-0.414409011	1	0
P0AC81	Lactoylglutathione lyase OS=Escherichia coli (strain K12) OX=83333 GN=gloA PE=1 SV=1	gloA	0.750326797	-0.414409011	0.026804764	1.571788011
P75809	5-amino-6-(5-phospho-D-ribitylamino)uracil phosphatase YbjI OS=Escherichia coli (strain K12) OX=83333 GN=ybjI PE=1 SV=3	ybjI	0.750326797	-0.414409011	1	0
Q47690	Homocysteine S-methyltransferase OS=Escherichia coli (strain K12) OX=83333 GN=mmuM PE=1 SV=2	MmuM	0.750326797	-0.414409011	1	0
P0ABX8	Flagellar protein FliL OS=Escherichia coli (strain K12) OX=83333 GN=fliL PE=3 SV=1	fliL	0.750980392	-0.413152855	1	0
P18392	Sensor protein RstB OS=Escherichia coli (strain K12) OX=83333 GN=rstB PE=1 SV=2	rstB	0.750980392	-0.413152855		#VALEUR!
P0ABM9	Cytochrome c-type biogenesis protein CcmH OS=Escherichia coli (strain K12) OX=83333 GN=ccmH PE=1 SV=1	ccmH	0.750980392	-0.413152855	1	0
P0A8F4	Uridine kinase OS=Escherichia coli (strain K12) OX=83333 GN=udk PE=3 SV=1	udk	0.751633987	-0.411897792	1	0
P04079	GMP synthase [glutamine-hydrolyzing] OS=Escherichia coli (strain K12) OX=83333 GN=guaA PE=1 SV=1	guaA	0.752287582	-0.410643819	1	0
P32132	GTP-binding protein TypA/BipA OS=Escherichia coli (strain K12) OX=83333 GN=typA PE=1 SV=2	typA	0.752287582	-0.410643819	1	0
P00509	Aspartate aminotransferase OS=Escherichia coli (strain K12) OX=83333 GN=aspC PE=1 SV=1	aspC	0.752287582	-0.410643819	1	0
P24215	Mannonate dehydratase OS=Escherichia coli (strain K12) OX=83333 GN=uxuA PE=1 SV=2	uxuA	0.752287582	-0.410643819	1	0
P0A6N8	Elongation factor P-like protein OS=Escherichia coli (strain K12) OX=83333 GN=yeiP PE=1 SV=1	yeiP	0.752287582	-0.410643819	1	0
P41407	FMN-dependent NADH-azoreductase OS=Escherichia coli (strain K12) OX=83333 GN=azoR PE=1 SV=3	azoR	0.752287582	-0.410643819	1	0
Q46868	Uncharacterized protein YqiC OS=Escherichia coli (strain K12) OX=83333 GN=yqiC PE=1 SV=2	yqiC	0.752287582	-0.410643819	1	0
P75949	Beta-hexosaminidase OS=Escherichia coli (strain K12) OX=83333 GN=nagZ PE=1 SV=1	nagZ	0.752941176	-0.409390936	1	0
P0A9S5	Glycerol dehydrogenase OS=Escherichia coli (strain K12) OX=83333 GN=gldA PE=1 SV=1	gldA	0.752941176	-0.409390936	1	0
P23256	Protein MalY OS=Escherichia coli (strain K12) OX=83333 GN=malY PE=1 SV=1	malY	0.752941176	-0.409390936	1	0
P69853	Tat proofreading chaperone DmsD OS=Escherichia coli (strain K12) OX=83333 GN=dmsD PE=1 SV=2	dmsD	0.752941176	-0.409390936	1	0
Q46871	NADPH-dependent ferric-chelate reductase OS=Escherichia coli (strain K12) OX=83333 GN=yqjH PE=1 SV=1	yqjH	0.753594771	-0.40813914	0.181071889	0.742148968
P0A731	Methylglyoxal synthase OS=Escherichia coli (strain K12) OX=83333 GN=mgsA PE=1 SV=1	mgsA	0.753594771	-0.40813914	1	0
P0A9L5	Peptidyl-prolyl cis-trans isomerase C OS=Escherichia coli (strain K12) OX=83333 GN=ppiC PE=1 SV=2	"ppiC; AL524_RS03415"	0.753594771	-0.40813914	1	0
P0AA04	Phosphocarrier protein HPr OS=Escherichia coli (strain K12) OX=83333 GN=ptsH PE=1 SV=1	"APT61_RS06345; ptsH; GLAD_RS17300; ENT638_RS15215"	0.754248366	-0.406888429	1	0
P06986	Histidinol-phosphate aminotransferase OS=Escherichia coli (strain K12) OX=83333 GN=hisC PE=1 SV=2	hisC	0.754248366	-0.406888429	1	0
P17115	Arabinose 5-phosphate isomerase GutQ OS=Escherichia coli (strain K12) OX=83333 GN=gutQ PE=1 SV=3	"gutQ; srlQ"	0.754248366	-0.406888429	1	0
P10441	Lipid-A-disaccharide synthase OS=Escherichia coli (strain K12) OX=83333 GN=lpxB PE=1 SV=2	lpxB	0.754248366	-0.406888429	1	0
P0A9J4	2-dehydropantoate 2-reductase OS=Escherichia coli (strain K12) OX=83333 GN=panE PE=1 SV=1	panE	0.754248366	-0.406888429	1	0
P0AG40	Riboflavin biosynthesis protein RibF OS=Escherichia coli (strain K12) OX=83333 GN=ribF PE=1 SV=1	ribF	0.754248366	-0.406888429	1	0
P0A7H0	DNA replication and repair protein RecF OS=Escherichia coli (strain K12) OX=83333 GN=recF PE=1 SV=2	recF	0.754248366	-0.406888429	1	0
P30011	Nicotinate-nucleotide pyrophosphorylase [carboxylating] OS=Escherichia coli (strain K12) OX=83333 GN=nadC PE=3 SV=7	nadC	0.754901961	-0.405638801	1	0
P24183	Formate dehydrogenase. nitrate-inducible. major subunit OS=Escherichia coli (strain K12) OX=83333 GN=fdnG PE=1 SV=3	fdnG	#VALEUR!	#VALEUR!		#VALEUR!
P14900	UDP-N-acetylmuramoylalanine--D-glutamate ligase OS=Escherichia coli (strain K12) OX=83333 GN=murD PE=1 SV=3	murD	0.754901961	-0.405638801	0.013071164	1.88368574
P25397	Tellurite methyltransferase OS=Escherichia coli (strain K12) OX=83333 GN=tehB PE=1 SV=1	tehB	0.754901961	-0.405638801	1	0
P0A8B5	Nucleoid-associated protein YbaB OS=Escherichia coli (strain K12) OX=83333 GN=ybaB PE=1 SV=1	ybaB	0.755555556	-0.404390255	1	0
P00803	Signal peptidase I OS=Escherichia coli (strain K12) OX=83333 GN=lepB PE=1 SV=2	lepB	0.755555556	-0.404390255	1	0
P27830	dTDP-glucose 4.6-dehydratase 2 OS=Escherichia coli (strain K12) OX=83333 GN=rffG PE=1 SV=3	rffG	0.755555556	-0.404390255	1	0
P05194	3-dehydroquinate dehydratase OS=Escherichia coli (strain K12) OX=83333 GN=aroD PE=1 SV=2	aroD	0.755555556	-0.404390255	1	0
P0AFU8	Riboflavin synthase OS=Escherichia coli (strain K12) OX=83333 GN=ribC PE=1 SV=1	ribC	0.755555556	-0.404390255	1	0
P0A8G9	Exodeoxyribonuclease 7 small subunit OS=Escherichia coli (strain K12) OX=83333 GN=xseB PE=1 SV=2	xseB	#VALEUR!	#VALEUR!		#VALEUR!
P0AAP3	Transcriptional repressor FrmR OS=Escherichia coli (strain K12) OX=83333 GN=frmR PE=1 SV=1	frmR	0.755555556	-0.404390255	1	0
P0A9T8	Uncharacterized ABC transporter ATP-binding protein YbbA OS=Escherichia coli (strain K12) OX=83333 GN=ybbA PE=3 SV=1	ybbA	0.755555556	-0.404390255	1	0
P60472	Ditrans.polycis-undecaprenyl-diphosphate synthase ((2E.6E)-farnesyl-diphosphate specific) OS=Escherichia coli (strain K12) OX=83333 GN=ispU PE=1 SV=1	ispU	0.755555556	-0.404390255	1	0
P31802	Nitrate/nitrite response regulator protein NarP OS=Escherichia coli (strain K12) OX=83333 GN=narP PE=3 SV=1	narP	0.75620915	-0.403142788	1	0
P0A825	Serine hydroxymethyltransferase OS=Escherichia coli (strain K12) OX=83333 GN=glyA PE=1 SV=1	glyA	0.75620915	-0.403142788	0.006950846	2.157962311
Q93K97	ADP-ribose pyrophosphatase OS=Escherichia coli (strain K12) OX=83333 GN=nudF PE=1 SV=2	nudF	0.75620915	-0.403142788	1	0
P76418	Uncharacterized protein YegU OS=Escherichia coli (strain K12) OX=83333 GN=yegU PE=3 SV=1	yegU	0.75620915	-0.403142788	1	0
P27836	UDP-N-acetyl-D-mannosaminuronic acid transferase OS=Escherichia coli (strain K12) OX=83333 GN=wecG PE=1 SV=2	"rffM; wecG"	0.75620915	-0.403142788	1	0
P0A867	Transaldolase A OS=Escherichia coli (strain K12) OX=83333 GN=talA PE=3 SV=1	talA	0.756862745	-0.4018964	1	0
P76541	Ethanolamine utilization protein EutL OS=Escherichia coli (strain K12) OX=83333 GN=eutL PE=1 SV=1	eutL	0.756862745	-0.4018964	1	0
P28904	Trehalose-6-phosphate hydrolase OS=Escherichia coli (strain K12) OX=83333 GN=treC PE=1 SV=3	treC	0.75751634	-0.400651087	0.608137288	0.215998367
P0ACV8	Uncharacterized protein YmjA OS=Escherichia coli (strain K12) OX=83333 GN=ymjA PE=4 SV=1	ymjA	#VALEUR!	#VALEUR!		#VALEUR!
P76015	PEP-dependent dihydroxyacetone kinase. dihydroxyacetone-binding subunit DhaK OS=Escherichia coli (strain K12) OX=83333 GN=dhaK PE=1 SV=2	dhaK	0.75751634	-0.400651087	1	0
P76576	UPF0070 protein YfgM OS=Escherichia coli (strain K12) OX=83333 GN=yfgM PE=3 SV=1	yfgM	0.75751634	-0.400651087	1	0
P23827	Ecotin OS=Escherichia coli (strain K12) OX=83333 GN=eco PE=1 SV=1	eco	0.75751634	-0.400651087	1	0
P09158	Polyamine aminopropyltransferase OS=Escherichia coli (strain K12) OX=83333 GN=speE PE=1 SV=2	speE	0.75751634	-0.400651087	1	0
P64602	Probable phospholipid ABC transporter-binding protein MlaB OS=Escherichia coli (strain K12) OX=83333 GN=mlaB PE=1 SV=1	mlaB	0.75751634	-0.400651087	1	0
